# Down sampled to 2000 coordinates
X,Y,Z
10241.201514863416,4100.121318932938,-1460.770789179074
12840.335210163252,2944.5118557152146,-1055.7823395123137
8742.263046697019,-2928.517761753851,-2284.4854482442624
21198.80118959313,5545.2282955823885,-2209.7044134177204
30835.496436433004,3420.3963336707097,-7449.59517386623
22287.591456591625,5422.049309074406,-665.7587286296309
17765.76234244909,-1318.7628324979146,-7591.954238373125
22243.57559701635,4120.552748924412,2066.745543414837
9627.838828406291,6806.63049085805,-8140.684145335926
8686.239309593278,-1414.9137865152877,-5973.197703090221
10427.074521668656,7005.086676280471,-13585.14778163836
10173.784127850038,3619.09015688988,-3008.651881195909
7822.479236456331,3329.275901481992,-11352.061640539836
34208.32918386514,-737.7323714664504,-4977.827585727555
30935.936505855225,1987.304568369132,-2867.344899981641
26267.74136469199,-4228.05620954782,3840.911007457732
31930.76350375642,-5144.154629473633,3868.883989342825
7008.91020263039,1865.1960693841536,-4256.590180667468
34924.3961776366,9494.519007532745,-6081.054745516025
51471.46650613472,-22386.829027100663,-9055.509228698504
37046.13449816225,-494.43011329297576,-9204.831005344602
35469.679401881906,136.9022053853265,-4268.497832918525
8849.008326217616,2403.965460570656,-5335.908786546775
20603.549540537617,10761.24619633002,-3491.5188350520625
35223.22091138524,7041.3383078250345,-3417.093212121691
39161.25390816196,-18501.089923471263,-8811.748982492065
27160.9636193224,15157.823195500268,2117.9551067104644
16998.980753424836,4463.928828572449,-7590.847323847523
13750.965749421626,5676.494164447203,-4051.442157543821
15117.333078376718,1918.101893867804,4187.547003110878
9229.089998120273,107.49294110349818,-1230.0663024391358
14081.042757005238,-5609.603846127532,-2871.8156160055923
22499.317184289503,-5709.698857912481,-6859.411755458754
25552.13478790049,12678.278125586536,-7230.761519922879
29278.87603624531,7341.502265972133,-5835.4128114890445
81026.86493879117,23743.325436386825,-3033.9168452836
12009.211530368211,-8456.01675999096,-10917.40565611104
18662.801544570662,-2377.851892479574,8795.410975050228
9761.730727344018,-1376.9003496227533,-4175.074942641778
11156.937264277783,5835.540144889106,-3055.2046588550265
12091.221372996535,-3321.746916947616,-9774.659573667665
7670.874561001488,-2801.3425748023205,-3025.412674003121
14531.90111945601,351.18253594541954,-3860.4765126096654
24334.61587814912,14122.040111435175,-7718.52986734867
15401.184026304483,-2449.2119474717656,-13668.59970638488
12861.692094373791,-6983.478747877676,-5509.921483200898
9681.254116998012,-1936.8607090590456,-760.7120082660481
19420.25105100528,7538.788206180351,-4318.20133742853
12418.073989152905,4429.483814598416,-1366.405940305344
8450.57865323841,-92.99518485529563,-10219.752343318269
12699.103248736024,8913.266379082344,-9839.537258994818
28049.63142156706,571.7981971571161,-2946.335928236698
13488.434960430865,-2687.802348201676,-3625.735450459525
17521.115251258147,-11523.133186072604,-1589.6322712027677
11001.562295450572,199.85701856588955,-2460.9998402797128
